"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",66740,0.141957714723274,66301.2,0.141096107516883,"1","1280","1","8","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",48082,0.102271663759731,48123.6,0.102412243263468,"2","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",47805,0.101682477559876,47805,0.101734194536197,"3","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",30334,0.0645212064491428,30353.8,0.0645960721707021,"4","1642","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",27196,0.0578465988854384,27196,0.0578759958599648,"5","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",26929,0.0572786829455056,26929,0.0573078159016473,"6","1299","1","1","1","1","0","0","Deinococcus","radiodurans"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",25094,0.0533755902497128,25093.9,0.0534026214458469,"7","487","1","1","1","1","0","0","Neisseria","meningitidis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",24423,0.051948355808908,24361.4,0.0518436104777431,"8","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",21419,0.0455587697281661,21382.4,0.0455039933811821,"9","1351","1","9","0","1","1","0","Enterococcus","canis"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",21223,0.0451418726336836,21223,0.0451647297938426,"10","287","1","1","1","1","0","0","Pseudomonas","aeruginosa"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",20293,0.043163738460884,20293,0.0431856916150387,"11","470","1","1","1","1","0","0","Acinetobacter","baumannii"
NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",19088,0.0406006721402136,19088,0.040621321767887,"12","1660","1","1","1","1","0","0","Schaalia","odontolytica"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",14952,0.031803292636236,15009.6,0.0319419952066954,"13","888745","1","1","1","1","0","0","Streptococcus","agalactiae"
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",14858,0.0316033521929638,14858,0.0316194262195654,"14","1063","1","2","1","1","1","0","Cereibacter","johrii"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",14443,0.0307206364061769,14443,0.0307361956594532,"15","562","1","8","1","1","1","1","Shigella","boydii"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",12159,0.0258625090398605,12159,0.0258756631214385,"16","210","1","1","1","1","0","0","Helicobacter","pylori"
