"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",36894,0.130720853189718,36338.1,0.128781022275674,"1","1280","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",26512,0.0939359044767658,26532.6,0.0940304875847101,"2","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",26305,0.0932024731163747,26305.1,0.0932244302207906,"3","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",18514,0.0655978174216522,18514,0.0656129282622577,"4","470","1","11","0.5","1","0.5","0","Acinetobacter","baumannii"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",16894,0.0598579198185909,16894,0.0598717079050573,"5","487","1","1","1","1","0","0","Neisseria","meningitidis"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",16075,0.0569560826970432,16074.9,0.0569689285661343,"6","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",15722,0.0557053519230429,15722,0.055718184073431,"7","1299","1","1","1","1","0","0","Deinococcus","radiodurans"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",14415,0.0510744592272397,14437.2,0.0511647460230911,"8","1642","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",14343,0.0508193526671037,14303.1,0.0506895637437618,"9","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",13894,0.0492284798129219,13893.9,0.0492395706728377,"10","287","1","1","1","1","0","0","Pseudomonas","aeruginosa"
NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",12208,0.0432547345297359,12207.9,0.0432644264981763,"11","1660","1","1","1","1","0","0","Schaalia","odontolytica"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",11592,0.0410721561819051,11548.9,0.0409289841074737,"12","1351","1","11","0","1","1","0","Enterococcus","canis"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",11425,0.0404804506882562,11425,0.0404897756671511,"13","210","1","1","1","1","0","0","Helicobacter","pylori"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",10867,0.0385033748472018,10867,0.0385122028836183,"14","562","1","7","1","1","1","1","Escherichia","boydii"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",9473,0.0335642283912343,9508.2,0.033696883761259,"15","888745","1","9","1","1","1","0","Streptococcus","agalactiae"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",7433,0.0263362091873793,7436.3,0.0263539603572804,"16","1596","1","7","1","1","1","0","Lactobacillus","gasseri"
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",6741,0.0238843516927383,6741,0.0238898532833685,"17","1063","1","2","1","1","1","0","Cereibacter","johrii"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",6062,0.0214785551047886,6062.3,0.021484654931122,"18","837","1","1","1","1","0","0","Porphyromonas","gingivalis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",1605,0.00568675040303293,2131.7,0.00755454943991622,"19","1282","1","6","1","1","1","0","Staphylococcus","aureus"
