superkingdom,kingdom,phylum,class,order,family,genus,species,reassigned_read_count,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,best_hit_genus,best_hit_species,blast_validated
,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,58068.5,6,1,1,1,0,Staphylococcus,aureus,TRUE
,,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium beijerinckii,40444,4,1,1,1,0,Clostridium,beijerinckii,TRUE
,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,40306,10,0,1,1,0,Bacillus,albus,FALSE
,,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,27024,1,1,1,0,0,Phocaeicola,vulgatus,TRUE
,,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis,24626,1,1,1,0,0,Neisseria,meningitidis,TRUE
,,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,23380,1,1,1,0,0,Deinococcus,radiodurans,TRUE
,,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria innocua,23066,5,1,1,1,0,Listeria,innocua,TRUE
,,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,21746,1,1,1,0,0,Streptococcus,mutans,TRUE
,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20673,1,1,1,0,0,Acinetobacter,baumannii,TRUE
,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,20252,10,0,1,1,0,Enterococcus,canis,FALSE
,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,18964,1,1,1,0,0,Pseudomonas,aeruginosa,TRUE
,,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,18345,9,1,1,0.5,0,Streptococcus,agalactiae,TRUE
,,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,18149,1,1,1,0,0,Schaalia,odontolytica,TRUE
,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,15433,7,1,1,1,1,Escherichia,boydii,TRUE
,,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,14965,1,1,1,0,0,Helicobacter,pylori,TRUE
,,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,13117,7,1,1,1,0,Lactobacillus,gasseri,TRUE
,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cereibacter,Cereibacter sphaeroides,10370,2,1,1,1,0,Cereibacter,johrii,TRUE
,,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,9234,1,1,1,0,0,Porphyromonas,gingivalis,TRUE
,,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,4442,1,1,1,0,0,Cutibacterium,acnes,TRUE
,,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,2609,2,1,1,1,0,Streptococcus,pneumoniae,TRUE
,,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,1330,1,1,1,0,0,Segatella,copri,TRUE
,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,1017.5,6,1,1,1,0,Staphylococcus,aureus,TRUE
,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus hirae,819.666666666667,16,0.8,1,1,0,Enterococcus,canis,TRUE
,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,489,2,1,1,1,0,Staphylococcus,arlettae,TRUE
,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus manliponensis,191,10,0,1,1,0,Bacillus,albus,FALSE
,,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium faecium,79,1,1,1,0,0,Phascolarctobacterium,faecium,TRUE
,,Bacillota,Bacilli,Bacillales,Planococcaceae,Viridibacillus,Viridibacillus arvi,55,10,0,0,1,1,Bacillus,albus,FALSE
,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter dublinensis,45,12,0,1,1,1,Cronobacter,[Pantoea] beijingensis,FALSE
,,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,34,1,1,1,0,0,Phocaeicola,massiliensis,TRUE
,,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria ivanovii,44,5,1,1,1,0,Listeria,innocua,TRUE
,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cytotoxicus,26,1,1,1,0,0,Bacillus,cytotoxicus,TRUE
,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,32.6666666666667,16,0.8,1,1,0,Enterococcus,faecium,TRUE
,,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,24,1,1,1,0,0,Faecalibacterium,prausnitzii,TRUE
,,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,22,1,1,1,0,0,Parabacteroides,merdae,TRUE
,,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,21,1,1,1,0,0,Bacteroides,caccae,TRUE
